Date,Price
7/27/2020,71.565
7/24/2020,71.729
7/23/2020,71.4585
7/22/2020,71.0675
7/21/2020,70.7443
7/20/2020,71.3428
7/17/2020,71.8825
7/16/2020,71.592
7/15/2020,70.9881
7/14/2020,70.8703
7/13/2020,70.9912
7/10/2020,70.7118
7/9/2020,70.9414
7/8/2020,71.1138
7/7/2020,71.4936
7/6/2020,71.8276
7/3/2020,71.3983
7/2/2020,70.5747
6/30/2020,71.1734
6/29/2020,69.998
6/26/2020,69.7955
6/25/2020,69.0183
6/23/2020,68.8651
6/22/2020,69.1003
6/19/2020,69.446
6/18/2020,69.8744
6/17/2020,69.7446
6/16/2020,69.6567
6/15/2020,69.5536
6/11/2020,70.2013
6/10/2020,68.4949
6/9/2020,68.5617
6/8/2020,68.1966
6/5/2020,68.686
6/4/2020,69.1601
6/3/2020,68.6504
6/2/2020,68.6754
6/1/2020,69.1249
5/29/2020,70.1445
5/28/2020,70.4928
5/27/2020,71.0038
5/26/2020,70.7948
5/25/2020,71.6901
5/22/2020,71.6123
5/21/2020,70.9631
5/20/2020,71.118
5/19/2020,72.4881
5/18/2020,72.6718
5/15/2020,73.616
5/14/2020,73.4875
5/13/2020,73.929
5/12/2020,73.7134
5/8/2020,73.4267
5/7/2020,74.1003
5/6/2020,74.5643
5/5/2020,73.7551
5/4/2020,74.8191
4/30/2020,74.3813
4/29/2020,73.0162
4/28/2020,74.1033
4/27/2020,74.4935
4/24/2020,74.5651
4/23/2020,74.7727
4/22/2020,75.9065
4/21/2020,77.0694
4/20/2020,75.5185
4/17/2020,73.958
4/16/2020,74.1841
4/15/2020,74.8437
4/14/2020,72.9953
4/13/2020,73.6013
4/10/2020,73.7523
4/9/2020,74.2565
4/8/2020,74.9406
4/7/2020,75.5471
4/6/2020,76.0059
4/3/2020,76.4918
4/2/2020,77.2349
4/1/2020,78.731
3/31/2020,78.4426
3/30/2020,79.3378
3/27/2020,78.8122
3/26/2020,77.4751
3/25/2020,78.2023
3/24/2020,78.2965
3/23/2020,79.5936
3/20/2020,79.9236
3/19/2020,79.1566
3/18/2020,80.8692
3/17/2020,75.4362
3/16/2020,74.6596
3/13/2020,72.6133
3/12/2020,74.8742
3/11/2020,72.9375
3/10/2020,71.3747
3/6/2020,68.5685
3/5/2020,67.6538
3/4/2020,66.2666
3/3/2020,65.9881
3/2/2020,66.4319
2/28/2020,66.8806
2/27/2020,66.0217
2/26/2020,65.4708
2/25/2020,65.3726
2/21/2020,64.0561
2/20/2020,64.2038
2/19/2020,63.571
2/18/2020,63.8115
2/17/2020,63.4645
2/14/2020,63.5556
2/13/2020,63.6413
2/12/2020,63.2143
2/11/2020,63.3759
2/10/2020,64.1332
2/7/2020,64.11
2/6/2020,63.3488
2/5/2020,62.8877
2/4/2020,63.1093
2/3/2020,63.715
1/31/2020,63.9203
1/30/2020,63.2759
1/29/2020,62.5451
1/28/2020,62.2825
1/27/2020,62.9797
1/24/2020,62.0857
1/23/2020,61.902
1/22/2020,61.8397
1/21/2020,61.8802
1/20/2020,61.5553
1/17/2020,61.5573
1/16/2020,61.6574
1/15/2020,61.4315
1/14/2020,61.4394
1/13/2020,61.2727
1/10/2020,61.0548
1/9/2020,61.283
1/8/2020,61.2437
1/6/2020,61.8227
1/3/2020,62.0922
12/30/2019,61.9863
12/27/2019,62.0332
12/26/2019,62.2138
12/25/2019,61.8489
12/24/2019,61.9669
12/23/2019,62.268
12/20/2019,62.2634
12/19/2019,62.4133
12/18/2019,62.661
12/17/2019,62.4038
12/16/2019,62.4428
12/13/2019,62.8624
12/12/2019,62.8402
12/11/2019,63.2695
12/10/2019,63.5011
12/9/2019,63.5847
12/6/2019,63.7533
12/5/2019,63.7294
12/4/2019,63.9429
12/3/2019,64.1502
12/2/2019,64.1748
11/29/2019,64.3195
11/28/2019,64.0735
11/27/2019,63.9615
11/26/2019,63.9516
11/25/2019,63.9381
11/22/2019,63.8623
11/21/2019,63.7094
11/20/2019,63.8991
11/19/2019,63.8192
11/18/2019,63.8278
11/15/2019,63.7628
11/14/2019,63.9828
11/13/2019,64.3456
11/12/2019,64.2272
11/11/2019,63.8874
11/8/2019,63.8046
11/7/2019,63.5284
11/6/2019,63.8725
11/5/2019,63.4946
11/1/2019,63.5244
10/31/2019,64.1328
10/30/2019,63.8536
10/29/2019,63.9463
10/28/2019,63.752
10/25/2019,63.8639
10/24/2019,64.0693
10/23/2019,63.9333
10/22/2019,63.7282
10/21/2019,63.7151
10/18/2019,63.7651
10/17/2019,64.1176
10/16/2019,64.0773
10/15/2019,64.2749
10/14/2019,64.295
10/11/2019,64.2224
10/10/2019,64.4582
10/9/2019,64.8895
10/8/2019,65.2004
10/7/2019,64.9596
10/4/2019,64.6288
10/3/2019,65.1317
10/2/2019,65.2033
10/1/2019,65.2647
9/30/2019,64.8569
9/27/2019,64.6841
9/26/2019,64.2124
9/25/2019,64.1506
9/24/2019,63.9902
9/23/2019,63.8469
9/20/2019,64.02
9/19/2019,63.9748
9/18/2019,64.163
9/17/2019,64.3652
9/16/2019,64.0405
9/13/2019,64.3403
9/12/2019,64.7151
9/11/2019,65.4915
9/10/2019,65.4233
9/9/2019,65.5344
9/6/2019,65.7289
9/5/2019,66.2335
9/4/2019,66.2255
9/3/2019,66.7693
9/2/2019,66.7973
8/30/2019,66.7657
8/29/2019,66.5718
8/28/2019,66.7779
8/27/2019,66.4352
8/26/2019,66.0593
8/23/2019,65.999
8/22/2019,65.6081
8/21/2019,65.754
8/20/2019,66.5455
8/19/2019,66.8987
8/16/2019,66.5148
8/15/2019,66.0533
8/14/2019,66.0531
8/13/2019,64.9112
8/12/2019,65.4132
8/9/2019,65.2816
8/8/2019,65.0435
8/7/2019,65.3237
8/6/2019,65.2723
8/5/2019,65.5195
8/2/2019,65.2713
8/1/2019,64.3518
7/31/2019,63.6284
7/30/2019,63.5067
7/29/2019,63.4357
7/26/2019,63.3663
7/25/2019,63.2336
7/24/2019,63.2936
7/23/2019,63.1609
7/22/2019,63.096
7/19/2019,63.0295
7/18/2019,62.8087
7/17/2019,62.9353
7/16/2019,63.0391
7/15/2019,62.6628
7/12/2019,62.9505
7/11/2019,62.8166
7/10/2019,63.1755
7/9/2019,63.9014
7/8/2019,63.6823
7/5/2019,63.8159
7/4/2019,63.4766
7/3/2019,63.322
7/2/2019,63.311
7/1/2019,62.973
6/28/2019,63.2305
6/27/2019,63.0788
6/26/2019,63.0602
6/25/2019,62.8613
6/24/2019,62.584
6/21/2019,63.0073
6/20/2019,62.91
6/19/2019,63.7783
6/18/2019,64.025
6/17/2019,64.3192
6/14/2019,64.3915
6/13/2019,64.5806
6/11/2019,64.5588
6/10/2019,64.7798
6/7/2019,64.87
6/6/2019,65.085
6/5/2019,65.3773
6/4/2019,65.1582
6/3/2019,65.3445
5/31/2019,65.4306
5/30/2019,65.1893
5/29/2019,64.9661
5/28/2019,64.7077
5/27/2019,64.4589
5/24/2019,64.4809
5/23/2019,64.8495
5/22/2019,64.3877
5/21/2019,64.4213
5/20/2019,64.5266
5/17/2019,64.7683
5/16/2019,64.6215
5/15/2019,64.6534
5/14/2019,64.945
5/13/2019,65.4278
5/10/2019,65.1033
5/8/2019,65.0687
5/7/2019,65.3974
5/6/2019,65.2236
5/3/2019,65.088
5/2/2019,65.4368
4/30/2019,64.6373
4/29/2019,64.4728
4/26/2019,64.7334
4/25/2019,64.6565
4/24/2019,64.3406
4/23/2019,63.6853
4/22/2019,63.8083
4/19/2019,64.0515
4/18/2019,63.8939
4/17/2019,63.8584
4/16/2019,64.1045
4/15/2019,64.267
4/12/2019,64.3497
4/11/2019,64.6097
4/10/2019,64.3223
4/9/2019,64.9032
4/8/2019,64.8788
4/5/2019,65.3465
4/4/2019,65.4796
4/3/2019,65.2355
4/2/2019,65.299
4/1/2019,65.1784
3/29/2019,65.634
3/28/2019,64.9382
3/27/2019,64.8291
3/26/2019,64.3919
3/25/2019,64.0807
3/22/2019,64.6616
3/21/2019,63.8684
3/20/2019,63.8577
3/19/2019,64.38
3/18/2019,64.3651
3/15/2019,64.8075
3/14/2019,65.514
3/13/2019,65.3932
3/12/2019,65.6236
3/11/2019,65.9751
3/7/2019,66.2827
3/6/2019,65.9751
3/5/2019,65.7624
3/4/2019,65.7387
3/1/2019,65.9365
2/28/2019,65.9151
2/27/2019,65.7901
2/26/2019,65.6999
2/25/2019,65.495
2/22/2019,65.3869
2/21/2019,65.5739
2/20/2019,65.6328
2/19/2019,65.7666
2/18/2019,66.2745
2/15/2019,66.3093
2/14/2019,66.6512
2/13/2019,66.5134
2/12/2019,65.8784
2/11/2019,65.8422
2/8/2019,65.7932
2/7/2019,65.9173
2/6/2019,65.8698
2/5/2019,65.6228
2/4/2019,65.5888
2/1/2019,65.5049
1/31/2019,65.4103
1/30/2019,65.5051
1/29/2019,66.0576
1/28/2019,66.264
1/25/2019,65.9938
1/24/2019,65.7634
1/23/2019,66.0805
1/22/2019,66.5341
1/21/2019,66.3882
1/18/2019,66.2722
1/17/2019,66.3653
1/16/2019,66.372
1/15/2019,66.9595
1/14/2019,67.0783
1/11/2019,66.8938
1/10/2019,66.9102
1/9/2019,66.7328
1/8/2019,66.9003
1/4/2019,67.7368
1/3/2019,68.6577
12/29/2018,69.8319
12/28/2018,69.5012
12/27/2018,69.5675
12/26/2018,68.6993
12/25/2018,68.6627
12/24/2018,68.5829
12/21/2018,68.8671
12/20/2018,68.3253
12/19/2018,67.4674
12/18/2018,67.2727
12/17/2018,66.7793
12/14/2018,66.745
12/13/2018,66.2312
12/12/2018,66.3996
12/11/2018,66.3795
12/10/2018,66.6529
12/7/2018,66.4006
12/6/2018,66.8741
12/5/2018,66.5669
12/4/2018,66.8401
12/3/2018,66.5095
11/30/2018,66.951
11/29/2018,66.2124
11/28/2018,66.9647
11/27/2018,67.0611
11/26/2018,67.0954
11/23/2018,66.1953
11/22/2018,65.6232
11/21/2018,65.6668
11/20/2018,66.1682
11/19/2018,65.5405
11/16/2018,65.9801
11/15/2018,65.892
11/14/2018,67.0379
11/13/2018,68.1147
11/12/2018,67.846
11/9/2018,68.1088
11/8/2018,66.9029
11/7/2018,66.3182
11/6/2018,66.1311
11/2/2018,66.2021
11/1/2018,65.7256
10/31/2018,65.8789
10/30/2018,65.5526
10/29/2018,65.8499
10/26/2018,65.7188
10/25/2018,65.5962
10/24/2018,65.6765
10/23/2018,65.5107
10/22/2018,65.242
10/19/2018,65.4911
10/18/2018,65.8044
10/17/2018,65.4946
10/16/2018,65.3067
10/15/2018,65.6526
10/12/2018,66.1173
10/11/2018,66.2668
10/10/2018,66.8935
10/9/2018,66.2607
10/8/2018,66.5707
10/5/2018,66.5795
10/4/2018,67.0142
10/3/2018,65.87
10/2/2018,65.503
10/1/2018,64.9848
9/28/2018,65.5503
9/27/2018,65.6158
9/26/2018,65.8054
9/25/2018,65.8789
9/24/2018,65.8465
9/21/2018,66.4138
9/20/2018,66.2735
9/19/2018,66.8168
9/18/2018,67.3648
9/17/2018,68.0636
9/14/2018,68.0749
9/13/2018,68.2455
9/12/2018,69.0146
9/11/2018,69.4245
9/10/2018,70.5613
9/7/2018,69.9025
9/6/2018,69.2575
9/5/2018,68.2578
9/4/2018,68.1158
9/3/2018,68.1184
8/31/2018,67.5458
8/30/2018,68.2441
8/29/2018,67.9422
8/28/2018,67.87
8/27/2018,67.5231
8/24/2018,67.0894
8/23/2018,68.1905
8/22/2018,68.028
8/21/2018,67.2698
8/20/2018,67.1083
8/17/2018,67.0448
8/16/2018,66.8308
8/15/2018,67.2998
8/14/2018,66.337
8/13/2018,67.8125
8/10/2018,67.7061
8/9/2018,66.6899
8/8/2018,65.549
8/7/2018,63.5012
8/6/2018,63.7398
8/3/2018,63.3389
8/2/2018,63.3833
8/1/2018,63.0369
7/31/2018,62.5078
7/30/2018,62.2518
7/27/2018,62.7967
7/26/2018,62.9533
7/25/2018,62.8188
7/24/2018,63.3094
7/23/2018,63.0689
7/20/2018,63.5093
7/19/2018,63.6649
7/18/2018,62.9669
7/17/2018,62.5927
7/16/2018,62.3227
7/13/2018,62.5553
7/12/2018,62.2673
7/11/2018,62.3559
7/10/2018,61.737
7/9/2018,62.4951
7/6/2018,62.9677
7/5/2018,63.1154
